id_acidente_tip; dia; mes; total; id_risco
24;17;3;1;af
24;28;3;1;af
24;3;4;1;af
13;18;4;1;af
24;18;4;1;af
13;24;4;1;af
24;8;5;1;af
24;15;5;1;af
24;22;5;1;af
24;25;5;1;af
24;1;6;1;af
24;14;6;1;af
11;23;6;1;af
13;30;6;1;af
13;2;7;1;af
13;2;7;1;af
24;20;7;1;af
11;24;7;1;af
19;16;8;1;af
13;23;8;1;af
24;22;9;1;af
13;24;9;2;af
24;25;9;1;af
13;12;10;1;af
24;30;10;1;af
24;30;10;1;af
24;8;11;1;af
24;14;11;1;af
33;27;11;1;af
24;6;12;1;af
24;6;12;1;af
24;26;12;1;af
13;28;12;1;af
29;11;1;1;af
13;23;1;1;af
13;23;1;1;af
24;22;2;1;af
13;29;3;1;af
13;4;4;1;af
24;20;4;1;af
24;10;5;1;af
24;17;5;1;af
24;17;7;1;af
24;20;8;1;af
24;31;10;1;af
11;4;11;1;af
24;9;11;1;af
24;9;11;1;af
24;22;11;1;af
13;15;12;1;af
13;15;12;1;af
30;23;1;1;af
24;7;2;1;af
24;24;2;1;af
24;25;2;1;af
13;14;3;1;af
24;17;3;1;af
24;25;3;1;af
24;13;5;1;af
28;23;5;3;af
13;24;5;1;af
24;27;6;1;af
24;9;7;1;af
24;5;8;1;af
24;6;10;1;af
13;13;10;1;af
28;15;10;1;af
29;5;12;1;af
13;12;1;1;af
24;29;1;1;af
11;29;1;1;af
24;15;4;1;af
13;29;4;1;af
29;6;5;1;af
24;27;5;1;af
28;28;5;2;af
13;29;5;1;af
28;6;6;2;af
24;12;6;1;af
24;8;7;1;af
25;29;7;1;af
6;26;8;1;af
24;13;10;1;af
24;28;1;1;af
24;5;2;1;af
24;22;3;1;af
24;12;4;1;af
24;6;5;1;af
24;10;5;1;af
11;21;5;1;af
24;8;6;1;af
24;11;6;1;af
24;17;6;1;af
24;21;6;1;af
24;14;7;1;af
24;5;8;1;af
24;9;8;1;af
13;10;9;1;af
13;23;9;1;af
13;28;10;1;af
13;8;11;1;af
13;9;11;1;af
24;21;11;1;af
24;13;12;1;af
24;13;12;1;af
24;17;12;1;af
24;23;12;1;af
24;17;1;1;af
24;27;1;1;af
13;7;2;1;af
24;21;2;1;af
13;30;3;1;af
24;4;4;1;af
24;23;5;1;af
24;30;6;1;af
24;16;7;1;af
11;20;7;1;af
24;2;8;1;af
24;13;8;1;af
13;18;8;1;af
24;29;8;1;af
24;5;9;1;af
24;9;9;1;af
13;10;9;1;af
24;18;9;1;af
13;22;9;1;af
24;25;9;1;af
24;25;9;2;af
11;1;10;1;af
24;2;10;1;af
13;21;10;1;af
24;30;10;1;af
24;13;11;1;af
11;25;11;1;af
24;27;11;1;af
11;10;2;1;af
24;6;3;1;af
24;23;3;1;af
13;6;4;1;af
24;7;4;1;af
13;25;5;1;af
18;14;11;2;af
18;1;12;2;af
24;30;4;1;af
24;24;5;1;af
24;22;7;1;af
24;20;9;1;af
24;27;11;1;af
24;20;2;1;af
11;9;9;1;af
13;17;10;1;af
24;19;10;1;af
13;24;10;1;af
24;29;5;1;af
24;6;11;1;af
80;1;4;1;af
24;1;4;1;af
13;1;4;1;af
18;2;4;1;af
18;5;4;1;af
11;5;4;1;af
13;5;4;1;af
30;5;4;1;af
13;5;4;1;af
19;6;4;3;af
18;7;4;1;af
13;7;4;1;af
29;7;4;1;af
24;7;4;2;af
13;7;4;1;af
24;8;4;1;af
29;9;4;1;af
29;9;4;1;af
45;9;4;1;af
18;11;4;1;af
13;12;4;1;af
13;13;4;2;af
13;14;4;2;af
24;14;4;1;af
24;15;4;1;af
29;15;4;1;af
24;15;4;1;af
13;15;4;1;af
24;15;4;1;af
18;15;4;1;af
19;15;4;3;af
25;15;4;1;af
24;16;4;1;af
13;16;4;1;af
19;17;4;3;af
11;18;4;1;af
13;18;4;2;af
24;18;4;1;af
24;18;4;1;af
24;19;4;1;af
13;19;4;1;af
24;19;4;1;af
18;20;4;1;af
24;20;4;1;af
13;20;4;1;af
24;20;4;1;af
29;20;4;2;af
24;20;4;1;af
24;20;4;1;af
30;21;4;2;af
13;21;4;1;af
24;21;4;1;af
33;24;4;1;af
24;24;4;1;af
11;25;4;1;af
33;25;4;2;af
24;26;4;1;af
29;27;4;1;af
29;27;4;1;af
21;28;4;1;af
13;28;4;1;af
24;28;4;1;af
24;29;4;1;af
13;29;4;1;af
24;29;4;1;af
40;29;4;3;af
35;1;7;1;af
25;1;7;1;af
13;1;7;1;af
24;1;7;1;af
19;2;7;3;af
25;3;7;1;af
13;3;7;1;af
13;3;7;1;af
29;4;7;1;af
19;4;7;1;af
13;4;7;1;af
24;4;7;1;af
13;4;7;1;af
13;5;7;1;af
29;5;7;2;af
13;5;7;1;af
13;5;7;1;af
24;5;7;1;af
13;5;7;1;af
18;5;7;1;af
13;6;7;1;af
13;6;7;1;af
24;6;7;1;af
29;7;7;1;af
13;7;7;1;af
13;7;7;1;af
24;7;7;1;af
19;7;7;3;af
13;7;7;1;af
24;7;7;1;af
13;8;7;1;af
24;8;7;1;af
24;8;7;1;af
19;9;7;3;af
13;9;7;2;af
29;10;7;2;af
24;12;7;1;af
18;12;7;1;af
24;12;7;1;af
13;12;7;1;af
13;13;7;1;af
24;13;7;1;af
24;13;7;1;af
13;13;7;1;af
18;14;7;1;af
13;14;7;1;af
13;14;7;1;af
33;15;7;1;af
13;15;7;1;af
24;15;7;1;af
13;15;7;1;af
24;16;7;1;af
13;16;7;2;af
24;16;7;1;af
18;18;7;2;af
13;18;7;1;af
27;18;7;1;af
13;19;7;1;af
24;19;7;1;af
18;19;7;1;af
24;20;7;1;af
47;20;7;1;af
18;20;7;2;af
24;20;7;1;af
13;21;7;1;af
13;21;7;1;af
11;21;7;1;af
18;22;7;1;af
19;22;7;3;af
24;22;7;1;af
30;22;7;1;af
13;22;7;1;af
24;22;7;1;af
35;22;7;1;af
13;23;7;3;af
18;23;7;1;af
24;23;7;1;af
35;23;7;2;af
25;26;7;1;af
24;26;7;1;af
13;27;7;2;af
24;27;7;1;af
35;27;7;1;af
13;27;7;1;af
24;27;7;1;af
24;27;7;1;af
24;28;7;1;af
29;28;7;1;af
13;28;7;3;af
24;29;7;1;af
13;29;7;1;af
18;29;7;1;af
24;29;7;1;af
13;29;7;1;af
29;30;7;2;af
19;30;7;2;af
13;30;7;1;af
19;31;7;1;af
29;31;7;1;af
29;31;7;2;af
13;31;7;1;af
34;29;3;1;af
19;3;6;3;af
13;18;2;1;af
19;21;3;3;af
19;30;6;1;af
30;16;2;3;af
30;25;8;3;af
30;20;3;1;af
36;11;6;1;af
13;28;1;1;af
35;26;1;1;af
41;24;2;1;af
19;25;6;1;af
24;15;3;1;af
24;3;2;1;af
19;6;1;1;af
18;7;3;3;af
25;28;6;1;af
19;24;6;1;af
63;31;1;1;af
13;8;1;1;af
30;5;8;2;af
13;5;2;1;af
24;12;7;1;af
30;26;6;1;af
19;25;7;2;af
30;16;7;2;af
30;22;3;1;af
13;25;8;1;af
11;2;2;1;af
30;4;3;1;af
30;26;5;1;af
24;17;3;1;af
13;11;4;1;af
30;21;1;1;af
24;6;2;1;af
24;19;4;1;af
30;6;5;1;af
30;9;5;1;af
30;27;7;1;af
24;7;1;1;af
24;16;3;1;af
13;10;7;1;af
24;25;2;1;af
24;15;5;1;af
19;13;4;3;af
13;9;8;1;af
25;31;5;1;af
13;10;3;1;af
11;28;6;1;af
18;12;7;1;af
13;17;6;1;af
24;27;8;1;af
19;20;2;1;af
30;27;8;2;af
24;19;8;1;af
13;12;1;1;af
19;22;1;2;af
24;24;6;1;af
25;8;6;1;af
31;21;3;2;af
19;18;4;3;af
24;22;4;1;af
19;25;6;2;af
19;30;8;3;af
24;23;2;1;af
30;20;4;1;af
24;31;8;1;af
18;12;3;1;af
13;8;3;1;af
18;10;6;1;af
13;18;4;1;af
13;18;7;2;af
19;28;6;2;af
18;12;6;1;af
24;5;4;1;af
13;13;5;1;af
18;3;7;1;af
35;10;4;1;af
11;29;6;1;af
30;7;4;1;af
24;13;6;1;af
13;5;3;2;af
13;12;3;1;af
13;13;4;1;af
13;7;7;1;af
25;21;1;3;af
24;15;1;1;af
24;29;2;1;af
13;18;1;1;af
18;29;7;1;af
11;17;1;2;af
13;20;1;1;af
13;7;3;1;af
13;11;3;1;af
13;31;1;1;af
34;11;3;3;af
29;17;4;1;af
30;24;8;1;af
24;13;2;1;af
30;19;5;1;af
30;22;7;1;af
25;25;8;1;af
13;23;6;1;af
13;17;1;1;af
13;27;1;1;af
25;1;2;1;af
13;9;4;1;af
13;27;4;1;af
13;28;4;1;af
30;18;5;1;af
13;23;6;1;af
25;23;7;1;af
13;15;5;1;af
18;25;4;1;af
25;27;7;1;af
13;19;5;1;af
41;28;3;1;af
24;10;7;1;af
24;9;8;1;af
13;14;7;1;af
45;29;2;1;af
18;7;4;2;af
47;7;8;1;af
18;24;3;1;af
18;1;6;2;af
25;18;4;1;af
24;13;2;1;af
19;29;4;2;af
24;19;3;1;af
11;6;7;2;af
11;12;4;2;af
25;25;4;2;af
11;7;8;1;af
19;15;1;3;af
19;20;7;2;af
19;6;4;3;af
19;18;1;1;af
25;20;5;1;af
19;3;5;1;af
29;23;2;1;af
36;23;7;1;af
19;13;1;1;af
24;3;7;1;af
13;12;2;1;af
18;30;7;1;af
13;21;6;1;af
24;28;8;1;af
19;5;2;3;af
25;1;8;1;af
11;30;7;1;af
13;21;6;1;af
18;8;4;1;af
19;18;3;2;af
19;2;5;3;af
30;4;1;1;af
25;29;1;1;af
18;1;4;1;af
24;2;2;1;af
24;29;2;1;af
29;3;1;1;af
24;9;7;1;af
29;23;1;1;af
19;3;8;3;af
13;29;1;2;af
19;1;8;1;af
36;30;5;1;af
44;6;1;1;af
13;11;1;1;af
25;10;3;1;af
11;18;3;1;af
24;18;3;1;af
13;4;7;1;af
13;23;7;1;af
13;19;2;1;af
24;24;4;1;af
24;1;6;1;af
38;3;6;1;af
13;14;5;1;af
13;15;8;1;af
29;4;3;1;af
29;5;3;1;af
24;19;1;1;af
13;29;1;1;af
63;5;4;1;af
11;19;1;1;af
24;29;1;1;af
30;12;2;1;af
11;15;7;1;af
24;5;8;1;af
13;17;6;1;af
29;15;2;1;af
19;31;7;3;af
11;15;1;2;af
18;31;8;1;af
13;1;4;1;af
13;7;2;1;af
18;24;3;1;af
13;20;5;1;af
47;28;4;1;af
63;4;7;1;af
19;19;8;1;af
19;20;4;1;af
18;7;6;1;af
19;9;1;1;af
29;18;3;1;af
63;25;7;1;af
24;8;4;1;af
13;16;8;1;af
29;19;1;1;af
30;8;6;1;af
35;21;3;2;af
30;4;5;3;af
29;24;3;1;af
18;28;4;1;af
24;29;2;1;af
19;2;1;3;af
18;16;3;1;af
18;29;3;1;af
13;30;7;3;af
13;9;3;2;af
11;3;2;1;af
11;12;8;1;af
30;2;2;1;af
24;12;3;1;af
19;11;7;2;af
24;27;6;1;af
29;16;1;1;af
13;30;1;1;af
24;28;6;1;af
13;30;8;1;af
18;25;4;1;af
13;28;6;1;af
25;4;2;1;af
24;11;3;1;af
19;4;8;2;af
63;2;5;1;af
19;5;2;3;af
11;5;2;1;af
11;28;6;1;af
63;15;2;1;af
24;23;5;1;af
19;19;8;1;af
18;19;6;1;af
29;26;1;1;af
38;3;2;1;af
24;5;2;1;af
13;18;2;1;af
6;1;3;1;af
13;1;3;1;af
11;4;3;1;af
13;1;4;1;af
13;9;4;1;af
13;29;4;1;af
35;15;7;1;af
30;7;7;1;af
13;8;7;1;af
24;24;2;2;af
63;21;6;1;af
38;6;7;1;af
19;23;6;1;af
13;7;5;3;af
13;4;2;1;af
19;20;5;2;af
24;15;4;1;af
24;18;2;1;af
13;9;4;1;af
13;23;4;1;af
13;30;6;1;af
32;13;5;1;af
24;25;6;1;af
47;30;7;1;af
24;3;1;1;af
24;19;2;1;af
13;15;4;1;af
11;30;6;1;af
31;13;1;3;af
13;6;6;1;af
32;1;3;1;af
18;13;2;1;af
63;12;4;1;af
13;4;8;3;af
11;8;4;1;af
24;9;8;1;af
13;3;5;1;af
25;19;7;1;af
27;8;4;1;af
24;17;3;1;af
11;21;4;1;af
63;25;5;1;af
24;16;1;1;af
30;6;3;1;af
6;21;7;1;af
11;30;8;1;af
13;5;7;1;af
41;12;7;1;af
35;11;7;1;af
24;19;3;1;af
24;26;2;1;af
13;7;4;1;af
13;28;7;3;af
13;11;3;1;af
13;22;3;2;af
38;18;1;1;af
13;16;6;1;af
13;14;1;1;af
11;8;1;1;af
13;3;3;2;af
13;29;7;3;af
13;12;7;1;af
24;28;3;1;af
13;9;6;1;af
13;16;1;2;af
21;4;8;1;af
24;21;8;1;af
24;22;1;1;af
13;31;1;1;af
24;25;2;2;af
11;25;4;1;af
13;4;7;1;af
24;18;7;1;af
13;4;2;1;af
18;27;5;1;af
18;22;8;1;af
18;8;7;2;af
13;29;2;1;af
24;17;3;1;af
13;7;1;1;af
11;16;1;1;af
13;28;5;1;af
13;30;6;1;af
24;17;5;1;af
24;6;6;1;af
11;2;6;1;af
24;8;1;1;af
24;12;1;1;af
24;12;1;1;af
24;14;1;1;af
24;1;2;1;af
24;5;2;1;af
24;16;2;1;af
24;24;2;1;af
24;4;3;1;af
24;9;3;1;af
44;19;3;2;af
24;21;3;1;af
24;31;3;1;af
47;9;4;1;af
24;20;4;1;af
24;20;4;1;af
24;5;5;1;af
24;21;6;1;af
13;4;7;2;af
13;5;7;1;af
24;5;8;1;af
13;8;8;1;af
24;22;8;1;af
13;16;6;1;af
13;17;8;1;af
13;5;7;1;af
24;18;2;1;af
24;2;3;1;af
11;23;5;1;af
24;26;8;1;af
24;22;8;1;af
25;2;5;1;af
36;27;7;1;af
35;7;5;1;af
13;12;1;1;af
11;17;6;1;af
27;5;8;2;af
13;4;1;1;af
19;19;4;1;af
24;22;6;1;af
13;29;2;1;af
13;21;6;1;af
13;10;8;1;af
24;16;4;1;af
13;4;3;1;af
24;11;4;1;af
24;5;4;2;af
25;21;5;1;af
13;29;1;1;af
13;6;5;1;af
13;17;8;1;af
18;19;5;1;af
24;8;3;1;af
13;15;3;1;af
13;27;4;1;af
11;25;4;1;af
24;28;1;2;af
13;6;6;1;af
25;22;6;2;af
13;29;5;1;af
24;27;8;1;af
13;8;5;1;af
25;16;1;1;af
19;12;6;2;af
24;8;1;1;af
13;22;3;1;af
13;1;8;1;af
24;31;5;1;af
25;16;1;1;af
24;26;2;1;af
24;19;6;1;af
27;8;3;2;af
18;23;3;3;af
24;29;4;1;af
24;24;2;1;af
24;22;7;1;af
13;1;9;1;af
13;2;9;1;af
18;2;9;1;af
18;3;9;1;af
11;6;9;1;af
24;6;9;1;af
24;6;9;1;af
13;6;9;1;af
47;6;9;1;af
19;7;9;1;af
24;9;9;1;af
30;9;9;1;af
18;9;9;1;af
19;11;9;3;af
13;12;9;1;af
6;12;9;3;af
24;12;9;1;af
18;13;9;1;af
24;14;9;1;af
13;14;9;1;af
13;14;9;1;af
13;15;9;1;af
11;16;9;1;af
24;16;9;1;af
24;16;9;1;af
13;17;9;1;af
13;18;9;1;af
11;19;9;1;af
11;20;9;1;af
24;20;9;1;af
24;20;9;1;af
19;20;9;3;af
45;21;9;1;af
24;21;9;1;af
45;22;9;1;af
13;23;9;1;af
11;24;9;1;af
13;25;9;1;af
24;26;9;1;af
24;26;9;1;af
30;27;9;2;af
36;27;9;1;af
13;28;9;1;af
25;28;9;1;af
13;28;9;1;af
13;28;9;1;af
18;29;9;1;af
24;29;9;1;af
13;29;9;1;af
19;29;9;1;af
21;29;9;1;af
24;30;9;1;af
36;30;9;1;af
38;30;9;1;af
25;30;9;1;af
24;30;9;1;af
21;30;9;1;af
47;1;10;1;af
18;3;10;1;af
21;3;10;1;af
36;4;10;1;af
19;4;10;3;af
36;4;10;1;af
13;4;10;1;af
47;4;10;1;af
45;5;10;1;af
13;6;10;1;af
6;6;10;1;af
24;6;10;1;af
24;7;10;1;af
13;7;10;1;af
47;7;10;1;af
25;10;10;1;af
13;11;10;1;af
18;11;10;2;af
24;11;10;1;af
18;12;10;1;af
35;13;10;1;af
13;14;10;1;af
25;14;10;2;af
18;14;10;2;af
24;14;10;1;af
11;14;10;1;af
24;15;10;1;af
24;16;10;1;af
24;18;10;1;af
18;20;10;2;af
24;20;10;1;af
11;20;10;1;af
18;21;10;1;af
13;21;10;1;af
13;22;10;1;af
45;22;10;1;af
25;22;10;1;af
13;23;10;1;af
13;23;10;2;af
24;23;10;1;af
47;24;10;1;af
24;25;10;1;af
13;25;10;1;af
24;25;10;1;af
21;26;10;1;af
13;26;10;1;af
24;26;10;1;af
13;26;10;1;af
13;26;10;1;af
13;26;10;2;af
47;26;10;1;af
47;27;10;1;af
18;27;10;1;af
24;27;10;1;af
18;27;10;1;af
24;29;10;1;af
25;30;10;1;af
24;31;10;1;af
24;31;10;1;af
24;1;11;1;af
18;1;11;1;af
13;2;11;1;af
13;2;11;1;af
32;3;11;1;af
24;3;11;1;af
11;3;11;1;af
18;3;11;1;af
25;4;11;1;af
38;4;11;1;af
24;4;11;1;af
24;5;11;1;af
38;5;11;1;af
13;5;11;1;af
18;6;11;1;af
30;8;11;2;af
18;10;11;1;af
31;10;11;3;af
13;10;11;1;af
24;11;11;1;af
25;11;11;1;af
13;11;11;1;af
24;11;11;2;af
24;11;11;1;af
24;11;11;1;af
19;12;11;2;af
38;12;11;1;af
47;12;11;1;af
30;12;11;1;af
25;12;11;1;af
30;14;11;1;af
24;14;11;1;af
24;14;11;1;af
25;15;11;1;af
13;16;11;1;af
32;17;11;1;af
24;17;11;1;af
21;17;11;1;af
13;18;11;1;af
13;18;11;3;af
19;18;11;1;af
13;19;11;1;af
13;19;11;1;af
24;19;11;1;af
24;20;11;2;af
24;20;11;1;af
30;21;11;1;af
38;21;11;1;af
11;22;11;2;af
30;22;11;1;af
24;22;11;1;af
21;22;11;1;af
18;23;11;1;af
13;24;11;1;af
13;25;11;1;af
47;25;11;1;af
45;25;11;1;af
24;27;11;1;af
24;27;11;1;af
24;27;11;1;af
24;28;11;1;af
24;28;11;1;af
19;29;11;1;af
19;29;11;1;af
45;30;11;1;af
24;2;12;1;af
11;2;12;1;af
24;3;12;1;af
25;4;12;1;af
19;4;12;2;af
13;4;12;1;af
18;6;12;1;af
25;7;12;1;af
11;7;12;1;af
18;8;12;1;af
13;8;12;1;af
13;8;12;1;af
13;8;12;1;af
11;8;12;1;af
38;8;12;1;af
13;9;12;1;af
13;9;12;1;af
29;9;12;1;af
21;10;12;2;af
24;10;12;1;af
19;11;12;3;af
13;12;12;1;af
36;12;12;1;af
13;12;12;1;af
19;12;12;3;af
21;13;12;1;af
13;13;12;1;af
30;13;12;1;af
25;15;12;1;af
11;15;12;2;af
13;16;12;1;af
13;17;12;1;af
30;17;12;1;af
24;18;12;1;af
41;18;12;1;af
24;20;12;2;af
25;21;12;1;af
31;21;12;1;af
24;22;12;1;af
13;22;12;1;af
21;22;12;1;af
24;23;12;2;af
24;23;12;1;af
18;23;12;1;af
11;23;12;1;af
30;24;12;1;af
18;24;12;1;af
24;24;12;1;af
13;24;12;1;af
13;26;12;1;af
30;27;12;1;af
38;27;12;1;af
25;28;12;1;af
24;28;12;1;af
19;28;12;3;af
30;29;12;1;af
24;29;12;1;af
25;30;12;1;af
24;31;12;1;af
18;2;1;1;af
24;3;1;1;af
13;3;1;1;af
13;3;1;1;af
25;3;1;1;af
13;4;1;1;af
13;4;1;1;af
24;4;1;1;af
24;4;1;1;af
13;5;1;1;af
13;5;1;1;af
24;5;1;1;af
24;5;1;1;af
24;5;1;1;af
11;6;1;1;af
18;6;1;1;af
6;7;1;1;af
24;9;1;1;af
18;9;1;1;af
24;11;1;2;af
24;11;1;1;af
11;11;1;1;af
13;13;1;1;af
11;13;1;1;af
11;13;1;1;af
24;14;1;1;af
13;17;1;1;af
25;18;1;1;af
24;19;1;1;af
24;19;1;1;af
13;19;1;1;af
13;19;1;1;af
24;19;1;1;af
24;19;1;1;af
24;19;1;1;af
24;20;1;1;af
13;21;1;1;af
25;22;1;1;af
13;24;1;1;af
24;25;1;1;af
13;25;1;1;af
13;25;1;1;af
11;26;1;1;af
18;26;1;2;af
35;26;1;1;af
13;26;1;1;af
13;28;1;1;af
19;29;1;1;af
13;29;1;1;af
13;30;1;1;af
13;31;1;2;af
13;31;1;1;af
18;31;1;1;af
19;1;2;1;af
18;1;2;1;af
25;3;2;1;af
30;4;2;1;af
19;6;2;3;af
47;8;2;1;af
11;8;2;1;af
30;9;2;1;af
13;10;2;1;af
13;10;2;1;af
11;10;2;1;af
21;13;2;1;af
13;13;2;1;af
13;15;2;1;af
24;15;2;1;af
13;15;2;2;af
11;15;2;1;af
19;15;2;1;af
18;16;2;1;af
13;16;2;1;af
13;17;2;1;af
24;17;2;1;af
24;18;2;1;af
18;19;2;1;af
13;20;2;2;af
21;20;2;1;af
13;21;2;1;af
13;22;2;1;af
18;22;2;1;af
13;23;2;1;af
19;23;2;2;af
24;24;2;1;af
13;24;2;1;af
24;24;2;1;af
24;25;2;1;af
13;25;2;1;af
13;25;2;2;af
13;25;2;1;af
47;26;2;1;af
36;27;2;1;af
13;28;2;1;af
13;1;3;1;af
36;2;3;1;af
13;4;3;1;af
13;4;3;1;af
13;7;3;1;af
24;7;3;1;af
13;7;3;1;af
13;7;3;1;af
13;7;3;1;af
18;8;3;1;af
24;8;3;1;af
25;8;3;1;af
41;10;3;1;af
13;10;3;1;af
18;10;3;1;af
24;11;3;1;af
24;11;3;1;af
35;11;3;1;af
32;11;3;1;af
13;12;3;2;af
11;12;3;1;af
18;13;3;1;af
24;13;3;1;af
11;13;3;2;af
31;13;3;3;af
47;14;3;1;af
47;14;3;1;af
13;14;3;1;af
13;14;3;1;af
11;14;3;1;af
13;15;3;1;af
11;15;3;3;af
80;16;3;1;af
24;16;3;1;af
38;17;3;1;af
24;17;3;1;af
35;17;3;1;af
25;18;3;1;af
13;21;3;1;af
13;22;3;1;af
13;23;3;2;af
11;23;3;1;af
45;24;3;1;af
18;24;3;1;af
24;24;3;1;af
13;25;3;1;af
21;25;3;1;af
13;26;3;1;af
13;27;3;1;af
13;27;3;1;af
13;28;3;1;af
13;29;3;1;af
24;29;3;1;af
24;29;3;1;af
19;30;3;1;af
13;30;3;1;af
24;31;3;1;af
21;2;4;1;af
18;2;4;3;af
24;3;4;1;af
24;4;4;3;af
25;5;4;1;af
13;6;4;1;af
11;6;4;1;af
13;7;4;1;af
25;9;4;1;af
13;9;4;2;af
13;12;4;1;af
24;12;4;1;af
25;13;4;1;af
13;13;4;1;af
13;13;4;1;af
25;15;4;1;af
25;16;4;1;af
24;18;4;3;af
24;21;4;2;af
25;22;4;1;af
25;23;4;1;af
13;23;4;1;af
25;24;4;1;af
24;24;4;1;af
25;24;4;1;af
40;25;4;3;af
24;26;4;1;af
24;26;4;1;af
18;26;4;1;af
24;27;4;1;af
29;27;4;1;af
24;27;4;1;af
21;27;4;1;af
18;28;4;1;af
29;28;4;1;af
25;28;4;1;af
38;30;4;1;af
30;1;5;1;af
24;1;5;1;af
13;2;5;1;af
25;4;5;1;af
13;4;5;1;af
13;5;5;1;af
13;5;5;1;af
24;8;5;1;af
24;8;5;1;af
35;8;5;1;af
25;9;5;1;af
13;9;5;1;af
13;10;5;1;af
11;12;5;1;af
13;12;5;1;af
24;13;5;1;af
13;13;5;2;af
24;13;5;1;af
13;15;5;1;af
24;15;5;1;af
33;15;5;1;af
13;16;5;1;af
24;19;5;1;af
13;20;5;2;af
11;20;5;1;af
18;21;5;1;af
11;22;5;1;af
13;25;5;1;af
11;26;5;1;af
24;26;5;1;af
13;27;5;2;af
24;29;5;1;af
13;29;5;1;af
38;29;5;1;af
19;29;5;2;af
19;30;5;3;af
18;30;5;1;af
13;1;6;1;af
13;2;6;1;af
13;2;6;1;af
24;3;6;1;af
13;4;6;1;af
18;6;6;1;af
24;7;6;1;af
30;8;6;1;af
27;9;6;2;af
80;10;6;1;af
21;11;6;1;af
24;11;6;1;af
24;11;6;1;af
13;11;6;1;af
24;12;6;1;af
13;12;6;1;af
24;13;6;1;af
24;13;6;1;af
25;14;6;1;af
18;14;6;2;af
13;15;6;1;af
13;15;6;1;af
21;15;6;1;af
13;16;6;1;af
25;17;6;1;af
18;19;6;1;af
24;20;6;1;af
13;20;6;1;af
24;21;6;1;af
25;21;6;1;af
25;21;6;1;af
13;23;6;1;af
18;24;6;2;af
25;25;6;2;af
24;26;6;1;af
13;28;6;1;af
13;29;6;1;af
30;29;6;2;af
11;30;6;1;af
13;30;6;1;af
18;2;8;1;af
13;3;8;1;af
36;4;8;1;af
25;4;8;3;af
24;4;8;1;af
13;4;8;2;af
18;8;8;1;af
40;9;8;2;af
38;10;8;1;af
11;10;8;1;af
24;11;8;1;af
24;11;8;1;af
24;11;8;1;af
47;11;8;1;af
19;14;8;1;af
21;14;8;1;af
24;15;8;1;af
13;15;8;1;af
18;16;8;2;af
13;16;8;1;af
24;16;8;1;af
13;16;8;1;af
24;16;8;1;af
13;17;8;1;af
13;18;8;1;af
40;19;8;3;af
30;19;8;1;af
24;20;8;1;af
19;21;8;3;af
11;21;8;1;af
49;22;8;1;af
25;22;8;1;af
31;23;8;3;af
24;23;8;2;af
13;24;8;1;af
31;24;8;3;af
13;25;8;1;af
24;25;8;1;af
25;28;8;1;af
21;5;7;1;af
24;5;7;1;af
35;5;7;1;af
13;8;7;1;af
24;8;7;1;af
24;9;7;1;af
11;9;7;1;af
24;9;7;1;af
36;10;7;1;af
25;10;7;1;af
18;10;7;2;af
13;10;7;1;af
13;10;7;1;af
24;10;7;1;af
13;10;7;2;af
30;13;7;1;af
21;13;7;1;af
24;14;7;1;af
13;14;7;1;af
25;14;7;1;af
24;14;7;1;af
19;15;7;3;af
13;18;7;1;af
11;18;7;1;af
25;18;7;1;af
13;19;7;1;af
13;19;7;1;af
13;19;7;1;af
13;21;7;1;af
13;25;7;1;af
13;26;7;2;af
13;26;7;1;af
24;27;7;1;af
13;28;7;1;af
36;29;7;1;af
36;29;7;1;af
13;29;7;1;af
6;29;7;2;af
24;30;7;1;af
24;30;7;1;af
24;31;7;1;af
11;1;9;1;af
13;2;9;1;af
24;4;9;1;af
24;4;9;1;af
18;5;9;2;af
13;5;9;1;af
21;5;9;1;af
24;5;9;1;af
24;6;9;1;af
11;6;9;1;af
13;6;9;1;af
24;7;9;1;af
18;8;9;1;af
47;10;9;1;af
13;11;9;1;af
24;11;9;1;af
13;12;9;1;af
35;13;9;1;af
24;14;9;1;af
13;14;9;1;af
49;14;9;1;af
13;15;9;1;af
24;15;9;1;af
11;15;9;1;af
30;16;9;1;af
24;16;9;1;af
47;17;9;1;af
25;17;9;1;af
21;18;9;1;af
24;19;9;1;af
24;20;9;1;af
13;21;9;1;af
13;22;9;1;af
24;22;9;1;af
24;23;9;1;af
24;23;9;1;af
80;24;9;1;af
13;24;9;1;af
25;24;9;1;af
11;25;9;1;af
13;25;9;1;af
19;26;9;3;af
11;26;9;1;af
30;26;9;1;af
13;29;9;1;af
13;30;9;1;af
13;30;9;1;af
25;30;9;2;af
13;2;10;1;af
11;2;10;1;af
25;3;10;1;af
25;3;10;1;af
13;3;10;1;af
11;4;10;1;af
13;5;10;1;af
13;6;10;3;af
13;6;10;1;af
13;7;10;3;af
47;7;10;1;af
13;7;10;1;af
24;7;10;1;af
21;9;10;1;af
13;10;10;1;af
24;12;10;1;af
30;13;10;1;af
6;14;10;1;af
30;15;10;3;af
24;17;10;1;af
13;18;10;1;af
21;20;10;1;af
13;20;10;2;af
13;20;10;1;af
32;23;10;2;af
25;23;10;2;af
25;23;10;1;af
24;24;10;1;af
11;26;10;1;af
13;26;10;1;af
25;27;10;1;af
24;27;10;1;af
